#,Do you currently live in Seattle?,Have you previously lived in Seattle?,When did you live in Seattle?,How long did you live in Seattle?,Where did you move to after Seattle?,How long have you lived in Seattle?,How old are you?,What is your gender?,How would you describe yourself?,In which country were you born?,Where did you move to Seattle from? ,Why did you move to Seattle?,"How many people, including yourself, live at home with you?",What is your yearly income?,Renting in Seattle is easy.,I am confident in my choice of neighborhood.,I knew a lot about Seattle before I moved here.,I visited Seattle before moving here.,I like living in Seattle.,Living in Seattle is worth the rent I pay.,I pay a fair amount for rent.,I am regularly looking for other places to rent.,I need to have a roommate to afford Seattle. ,I would rather live in a different neighborhood in Seattle. ,I would have chosen a different neighborhood in Seattle to live in if I had more knowledge.,Did you use any of the following tools to find housing? ,Other,What alternative helped you find housing?,Broadview,Northgate,Lake City,Greenwood,Wedgwood,Ballard,Phinney,Greenlake,University District,Ravenna,Laurelhurst,Fremont,Wallingford,Magnolia,Queen Anne,Lower Queen Anne,Eastlake,Montlake,Madison Park,South Lake Union,Capitol Hill,Madrona,Belltown,Downtown,First Hill,Central District,Leschi,Pioneer Square,Chinatown / ID ,Beacon Hill,Mt. Baker,West Seattle,Delridge,Columbia City,Seward Park,Southpark,Georgetown,Rainier Valley,Rank the following elements from most important to least important when deciding on housing.,What is your Seattle zip code?,Start Date (UTC),Submit Date (UTC),Network ID
3pfcp99mw6vlcpx3p5df30y9rnx3uj1k,0,Yes,2012,8 years,Everett,,25 to 34,Male,No Answer,United States of America,AZ,Youthful dream.,1,85000,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Apartments.com,,,Unsure,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,Yes,Yes,Unsure,No,No,No,Yes,Unsure,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,"Price of rent,Size of housing (i.e. square feet),Pet-friendliness,High quality of bathrooms,High quality of roommates,Parking,High quality of amenities,High quality kitchen,Aesthetics,Safety / lack of crime,Proximity to friends,Walkability,Proximity to nature,Proximity to bars / social scene,Bikability",98101,2021-10-27 21:19:14,2021-10-27 21:25:21,58afdd1baa
mtxds7z4m41nr21dob5mtxds7gmj13a3,1,,,,,< 6 months,18 to 24,Female,White,United States of America,MD,Job offer,1,85000,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Apartments.com,,,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Yes,Unsure,No,No,Yes,Unsure,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Safety / lack of crime,Price of rent,Proximity to nature,Walkability,Proximity to bars / social scene,Parking,High quality of bathrooms,Proximity to friends,High quality kitchen,Aesthetics,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Pet-friendliness,Bikability",98107,2021-10-27 20:27:32,2021-10-27 20:32:10,20a93f8158
o0ukw3ytii8monf5ggm61do0ukw3ytml,0,Yes,2020,3.5 years,Denver,,25 to 34,Female,White,United States of America,IL,"Lifestyle change, friends",2,78000,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Zillow,,,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,No,Yes,Yes,No,Yes,Unsure,"Safety / lack of crime,High quality of roommates,Price of rent,Size of housing (i.e. square feet),High quality of bathrooms,High quality kitchen,Proximity to bars / social scene,Proximity to nature,Proximity to friends,Walkability,High quality of amenities,Aesthetics,Parking,Pet-friendliness,Bikability",98144,2021-10-27 19:48:54,2021-10-27 19:57:32,4c31e07c55
y817p55q9luvy7ol009odey817p55qnh,1,,,,,< 5 years,25 to 34,Male,White,United States of America,MA,For a job!,1,40000,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Facebook,,,Unsure,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,Yes,Yes,No,Yes,No,"Proximity to bars / social scene,Proximity to friends,Safety / lack of crime,Price of rent,High quality of amenities,High quality of roommates,Size of housing (i.e. square feet),Bikability,Proximity to nature,Aesthetics,Parking,High quality kitchen,High quality of bathrooms,Pet-friendliness,Walkability",98121,2021-10-27 05:07:40,2021-10-27 05:11:22,6027b5d710
oqlmdnmi4oqm11gmfaoqlmryi5wjfvnn,1,,,,,< 6 months,18 to 24,Female,Native American,United States of America,MN,Grad School,2,0,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Zillow,,,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Unsure,Yes,Yes,Yes,Unsure,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,Yes,,Yes,,Yes,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,No,Unsure,Unsure,Unsure,Unsure,Unsure,No,"Price of rent,Proximity to nature,Proximity to bars / social scene,Walkability,Pet-friendliness,High quality of bathrooms,Parking,High quality of amenities,Safety / lack of crime,Proximity to friends,High quality kitchen,Aesthetics,High quality of roommates,Size of housing (i.e. square feet),Bikability",98121,2021-10-27 02:41:48,2021-10-27 02:49:18,2d731df42c
li7kl0wtf5d2ynafbvli7kulbbspvcew,1,,,,,< 5 years,25 to 34,Man,White,United States of America,CA,School,3,167000,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Unsure,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Unsure,Yes,Unsure,"Pet-friendliness,Price of rent,Proximity to friends,Size of housing (i.e. square feet),Parking,Walkability,Proximity to nature,High quality of bathrooms,Aesthetics,Proximity to bars / social scene,Safety / lack of crime,High quality of amenities,High quality kitchen,High quality of roommates,Bikability",98125,2021-10-27 02:18:42,2021-10-27 02:27:45,62532184b9
v8fpct1nxqggng1v8filk5u1f1ydjwh2,1,,,,,< 1 year,25 to 34,Female,White,United States of America,VT,Grad school,1,28000,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Facebook,,,No,No,No,Unsure,Unsure,Yes,No,Yes,No,Unsure,Unsure,No,No,No,No,No,No,No,Unsure,Unsure,No,No,No,No,No,No,Unsure,No,No,No,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,"Safety / lack of crime,Price of rent,Proximity to friends,Proximity to nature,High quality of roommates,Parking,Size of housing (i.e. square feet),High quality of bathrooms,Walkability,Proximity to bars / social scene,High quality kitchen,Aesthetics,High quality of amenities,Pet-friendliness,Bikability",98103,2021-10-26 23:27:03,2021-10-26 23:33:04,7823044471
azec1ziewc30l5gsu99azec1d915ja9u,1,,,,,< 1 year,25 to 34,Female,White,United States of America,NY,"Lifestyle, relationship, job opps",2,90000,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Zillow,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"Price of rent,High quality kitchen,High quality of bathrooms,Aesthetics,Parking,Walkability,Proximity to bars / social scene,Proximity to nature,Safety / lack of crime,Proximity to friends,Size of housing (i.e. square feet),High quality of amenities,High quality of roommates,Pet-friendliness,Bikability",98103,2021-10-26 20:23:48,2021-10-26 20:27:35,45f54dd902
azgcy9q6w1zaws4efazgcylqtwbnwmi8,1,,,,,More than 5 years,25 to 34,Male,Asian,United States of America,MN,Work,3,125000,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Zillow,,,Yes,No,No,Yes,Unsure,Yes,Unsure,Yes,No,Unsure,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Unsure,Yes,Unsure,"Size of housing (i.e. square feet),Price of rent,Safety / lack of crime,Parking,Walkability,Bikability,High quality of roommates,Proximity to nature,Proximity to friends,Aesthetics,Proximity to bars / social scene,High quality of amenities,High quality kitchen,High quality of bathrooms,Pet-friendliness",98106,2021-10-26 20:05:27,2021-10-26 20:12:44,92ae99f5e7
ms7cgpfmrhfd922ms7cgvvxdyvxx2xdl,1,,,,,< 1 year,25 to 34,Male,White,United States of America,GA,Work and the mountains,1,60000,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Craigslist,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"Proximity to nature,Safety / lack of crime,High quality kitchen,Price of rent,Parking,Proximity to friends,Bikability,Aesthetics,Walkability,High quality of amenities,Size of housing (i.e. square feet),High quality of roommates,Pet-friendliness,High quality of bathrooms,Proximity to bars / social scene",98103,2021-10-26 19:31:57,2021-10-26 19:36:06,dab1d5a1a1
